npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/2/2026 12:02:45 AM ::1 GET /
 HTTP  4/2/2026 12:02:45 AM ::1 Returned 200 in 264 ms
 HTTP  4/2/2026 12:02:46 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:02:46 AM ::1 Returned 200 in 21 ms
 HTTP  4/2/2026 12:03:43 AM ::1 GET /
 HTTP  4/2/2026 12:03:43 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 12:03:43 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:03:43 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:04:41 AM ::1 GET /
 HTTP  4/2/2026 12:04:41 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:04:41 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:04:41 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 12:05:16 AM ::1 GET /
 HTTP  4/2/2026 12:05:16 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 12:05:16 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:05:16 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:05:54 AM ::1 GET /
 HTTP  4/2/2026 12:05:54 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 12:05:54 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:05:54 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:07:02 AM ::1 GET /
 HTTP  4/2/2026 12:07:02 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 12:07:02 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:07:02 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:07:38 AM ::1 GET /
 HTTP  4/2/2026 12:07:38 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 12:07:38 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:07:38 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:08:48 AM ::1 GET /
 HTTP  4/2/2026 12:08:48 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:08:48 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:08:48 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:09:57 AM ::1 GET /
 HTTP  4/2/2026 12:09:57 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 12:09:57 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:09:57 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 12:11:08 AM ::1 GET /
 HTTP  4/2/2026 12:11:08 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 12:11:08 AM ::1 GET /_expo/static/js/web/index-e2ab6869f895504ba29fb982f56d9ee3.js
 HTTP  4/2/2026 12:11:08 AM ::1 Returned 200 in 1 ms
