npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/30/2026 12:06:29 AM ::1 GET /
 HTTP  4/30/2026 12:06:29 AM ::1 Returned 200 in 278 ms
 HTTP  4/30/2026 12:06:30 AM ::1 GET /_expo/static/js/web/index-25819267e621f2e208749c6f58a93da5.js
 HTTP  4/30/2026 12:06:30 AM ::1 Returned 200 in 28 ms
 HTTP  4/30/2026 12:08:36 AM ::1 GET /
 HTTP  4/30/2026 12:08:36 AM ::1 Returned 200 in 2 ms
 HTTP  4/30/2026 12:08:36 AM ::1 GET /_expo/static/js/web/index-25819267e621f2e208749c6f58a93da5.js
 HTTP  4/30/2026 12:08:36 AM ::1 Returned 200 in 2 ms
 HTTP  4/30/2026 12:09:40 AM ::1 GET /
 HTTP  4/30/2026 12:09:40 AM ::1 Returned 200 in 2 ms
 HTTP  4/30/2026 12:09:40 AM ::1 GET /_expo/static/js/web/index-25819267e621f2e208749c6f58a93da5.js
 HTTP  4/30/2026 12:09:40 AM ::1 Returned 200 in 2 ms
 HTTP  4/30/2026 12:10:19 AM ::1 GET /
 HTTP  4/30/2026 12:10:19 AM ::1 Returned 200 in 1 ms
 HTTP  4/30/2026 12:10:19 AM ::1 GET /_expo/static/js/web/index-25819267e621f2e208749c6f58a93da5.js
 HTTP  4/30/2026 12:10:19 AM ::1 Returned 200 in 1 ms
